Category,State/UT,No Education - Male,No Education - Female,No Education - Transgender,No Education - Total,Primary (up to class - 5th) - Male,Primary (up to class - 5th) - Female,Primary (up to class - 5th) - Transgender,Primary (up to class - 5th) - Total,Middle (up to class - 8th) - Male,Middle (up to class - 8th) - Female,Middle (up to class - 8th) - Transgender,Middle (up to class - 8th) - Total,Matriculate/ Secondary (up to class - 10th) - Male,Matriculate/ Secondary (up to class - 10th) - Female,Matriculate/ Secondary (up to class - 10th) - Transgender,Matriculate/ Secondary (up to class - 10th) - Total,Hr. Secondary/ Intermediate/ Pre-University (up to class - 12th) - Male,Hr. Secondary/ Intermediate/ Pre-University (up to class - 12th) - Female,Hr. Secondary/ Intermediate/ Pre-University (up to class - 12th) - Transgender,Hr. Secondary/ Intermediate/ Pre-University (up to class - 12th) - Total,Diploma/Certificate/ ITI - Male,Diploma/Certificate/ ITI - Female,Diploma/Certificate/ ITI - Transgender,Diploma/Certificate/ ITI - Total,Graduate and above - Male,Graduate and above - Female,Graduate and above - Transgender,Graduate and above - Total,Professionals (MBA etc.) - Male,Professionals (MBA etc.) - Female,Professionals (MBA etc.) - Transgender,Professionals (MBA etc.) - Total,Status Not known - Male,Status Not known - Female,Status Not known - Transgender,Status Not known - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
State,Andhra Pradesh,984,380,0,1364,1031,397,0,1428,1052,370,0,1422,1487,477,0,1964,792,240,0,1032,120,21,0,141,351,112,0,463,19,4,0,23,210,20,0,230,6046,2021,0,8067
State,Arunachal Pradesh,18,6,0,24,16,11,0,27,9,4,0,13,24,13,0,37,15,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,29,10,0,39,111,49,0,160
State,Assam,326,180,0,506,374,169,0,543,495,205,0,700,604,206,0,810,486,133,0,619,20,0,0,20,45,18,0,63,1,0,0,1,0,0,0,0,2351,911,0,3262
State,Bihar,51,37,0,88,49,27,0,76,73,64,0,137,117,116,0,233,113,81,0,194,35,10,0,45,19,11,0,30,11,7,0,18,2,4,0,6,470,357,0,827
State,Chhattisgarh,663,378,0,1041,1188,562,0,1750,1416,421,0,1837,932,317,0,1249,577,237,0,814,30,6,0,36,167,46,0,213,6,2,0,8,646,234,0,880,5625,2203,0,7828
State,Goa,16,9,0,25,23,9,0,32,46,16,0,62,99,19,0,118,42,14,0,56,1,0,0,1,16,4,0,20,0,1,0,1,6,0,0,6,249,72,0,321
State,Gujarat,579,337,0,916,1078,606,1,1685,1444,612,0,2056,1622,520,0,2142,1024,385,0,1409,42,17,0,59,282,93,0,375,3,1,0,4,125,18,0,143,6199,2589,1,8789
State,Haryana,463,153,0,616,379,130,0,509,537,131,0,668,723,192,0,915,248,83,0,331,26,7,0,33,47,9,0,56,2,3,0,5,445,114,0,559,2870,822,0,3692
State,Himachal Pradesh,34,25,0,59,40,26,0,66,112,57,0,169,220,72,0,292,155,71,0,226,11,3,0,14,29,20,0,49,1,0,0,1,12,1,0,13,614,275,0,889
State,Jharkhand,94,50,0,144,117,40,0,157,126,51,0,177,440,160,0,600,489,144,0,633,62,19,0,81,20,1,0,21,0,0,0,0,10,2,0,12,1358,467,0,1825
