Category,State/UT,House wife - Male,House wife - Female,House wife - Transgender,House wife - Total,Professionals/Salaried Persons (Total) - Male,Professionals/Salaried Persons (Total) - Female,Professionals/Salaried Persons (Total) - Transgender,Professionals/Salaried Persons (Total) - Total,Professionals/Salaried Persons (Government Servants (Total)) - Male,Professionals/Salaried Persons (Government Servants (Total)) - Female,Professionals/Salaried Persons (Government Servants (Total)) - Transgender,Professionals/Salaried Persons (Government Servants (Total)) - Total,Professionals/Salaried Persons (Government Servants(Central/ UT Govt. Servants)) - Male,Professionals/Salaried Persons (Government Servants(Central/ UT Govt. Servants)) - Female,Professionals/Salaried Persons (Government Servants(Central/ UT Govt. Servants)) - Transgender,Professionals/Salaried Persons (Government Servants(Central/ UT Govt. Servants)) - Total,Professionals/Salaried Persons (Government Servants(State Govt. Servants)) - Male,Professionals/Salaried Persons (Government Servants(State Govt. Servants)) - Female,Professionals/Salaried Persons (Government Servants(State Govt. Servants)) - Transgender,Professionals/Salaried Persons (Government Servants(State Govt. Servants)) - Total,Professionals/Salaried Persons (Government Servants (Other Statutory Body/etc.)) - Male,Professionals/Salaried Persons (Government Servants (Other Statutory Body/etc.)) - Female,Professionals/Salaried Persons (Government Servants (Other Statutory Body/etc.)) - Transgender,Professionals/Salaried Persons (Government Servants (Other Statutory Body/etc.)) - Total,Professionals/Salaried Persons (Private Sector Enterprises) - Male,Professionals/Salaried Persons (Private Sector Enterprises) - Female,Professionals/Salaried Persons (Private Sector Enterprises) - Transgender,Professionals/Salaried Persons (Private Sector Enterprises) - Total,Professionals/Salaried Persons (Public Sector Undertaking) - Male,Professionals/Salaried Persons (Public Sector Undertaking) - Female,Professionals/Salaried Persons (Public Sector Undertaking) - Transgender,Professionals/Salaried Persons (Public Sector Undertaking) - Total,Students - Male,Students - Female,Students - Transgender,Students - Total,Unemployed Persons - Male,Unemployed Persons - Female,Unemployed Persons - Transgender,Unemployed Persons - Total,Self-employed Persons(Total) - Male,Self-employed Persons(Total) - Female,Self-employed Persons(Total) - Transgender,Self-employed Persons(Total) - Total,Self-employed Persons (Business (Total)) - Male,Self-employed Persons (Business (Total)) - Female,Self-employed Persons (Business (Total)) - Transgender,Self-employed Persons (Business (Total)) - Total,Self-employed Persons (Business(Vendor)) - Male,Self-employed Persons (Business(Vendor)) - Female,Self-employed Persons (Business(Vendor)) - Transgender,Self-employed Persons (Business(Vendor)) - Total,Self-employed Persons (Business(Tradesmen)) - Male,Self-employed Persons (Business(Tradesmen)) - Female,Self-employed Persons (Business(Tradesmen)) - Transgender,Self-employed Persons (Business(Tradesmen)) - Total,Self-employed Persons (Business(Other Business)) - Male,Self-employed Persons (Business(Other Business)) - Female,Self-employed Persons (Business(Other Business)) - Transgender,Self-employed Persons (Business(Other Business)) - Total,Other Self-employed Persons - Male,Other Self-employed Persons - Female,Other Self-employed Persons - Transgender,Other Self-employed Persons - Total,Persons Engaged in Farming Sector (Total) - Male,Persons Engaged in Farming Sector (Total) - Female,Persons Engaged in Farming Sector (Total) - Transgender,Persons Engaged in Farming Sector (Total) - Total,Persons Engaged in Farming Sector (Farmers/Cultivators (Total)) - Male,Persons Engaged in Farming Sector (Farmers/Cultivators (Total)) - Female,Persons Engaged in Farming Sector (Farmers/Cultivators (Total)) - Transgender,Persons Engaged in Farming Sector (Farmers/Cultivators (Total)) - Total,Farmers/Cultivators (Who Cultivate Their Own Land) - Male,Farmers/Cultivators (Who Cultivate Their Own Land) - Female,Farmers/Cultivators (Who Cultivate Their Own Land) - Transgender,Farmers/Cultivators (Who Cultivate Their Own Land) - Total,Farmers/Cultivators (Who Cultivate On Lease Land) - Male,Farmers/Cultivators (Who Cultivate On Lease Land) - Female,Farmers/Cultivators (Who Cultivate On Lease Land) - Transgender,Farmers/Cultivators (Who Cultivate On Lease Land) - Total,Persons engaged in Farming Sector (Agricultural Laborers) - Male,Persons engaged in Farming Sector (Agricultural Laborers) - Female,Persons engaged in Farming Sector (Agricultural Laborers) - Transgender,Persons engaged in Farming Sector (Agricultural Laborers) - Total,Daily Wage Earner - Male,Daily Wage Earner - Female,Daily Wage Earner - Transgender,Daily Wage Earner - Total,Retired Persons - Male,Retired Persons - Female,Retired Persons - Transgender,Retired Persons - Total,Other Persons - Male,Other Persons - Female,Other Persons - Transgender,Other Persons - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
State,Andhra Pradesh,0,731,0,731,458,96,0,554,100,27,0,127,24,0,0,24,75,26,0,101,1,1,0,2,350,67,0,417,8,2,0,10,313,210,0,523,299,110,0,409,1083,106,0,1189,336,30,0,366,32,2,0,34,38,5,0,43,266,23,0,289,747,76,0,823,958,107,0,1065,455,26,0,481,335,24,0,359,120,2,0,122,503,81,0,584,2468,546,0,3014,33,3,0,36,434,112,0,546,6046,2021,0,8067
State,Arunachal Pradesh,0,14,0,14,17,2,0,19,15,0,0,15,11,0,0,11,1,0,0,1,3,0,0,3,1,2,0,3,1,0,0,1,17,14,0,31,22,6,0,28,7,1,0,8,5,1,0,6,1,1,0,2,1,0,0,1,3,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,23,1,0,0,1,25,11,0,36,111,49,0,160
State,Assam,0,543,0,543,410,49,0,459,52,1,0,53,12,0,0,12,34,1,0,35,6,0,0,6,272,33,0,305,86,15,0,101,198,150,0,348,791,70,0,861,134,4,0,138,134,4,0,138,93,2,0,95,41,2,0,43,0,0,0,0,0,0,0,0,226,1,0,227,153,0,0,153,134,0,0,134,19,0,0,19,73,1,0,74,571,88,0,659,11,1,0,12,10,5,0,15,2351,911,0,3262
State,Bihar,0,164,0,164,104,45,0,149,2,1,0,3,2,0,0,2,0,1,0,1,0,0,0,0,51,31,0,82,51,13,0,64,150,108,0,258,41,17,0,58,145,23,0,168,62,3,0,65,26,1,0,27,23,0,0,23,13,2,0,15,83,20,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,29,0,0,0,0,1,0,0,1,470,357,0,827
State,Chhattisgarh,0,910,0,910,172,21,0,193,69,8,0,77,17,1,0,18,52,6,0,58,0,1,0,1,66,5,0,71,37,8,0,45,278,331,0,609,380,24,0,404,270,10,0,280,153,3,0,156,49,2,0,51,15,0,0,15,89,1,0,90,117,7,0,124,327,12,0,339,71,0,0,71,67,0,0,67,4,0,0,4,256,12,0,268,1725,315,0,2040,13,4,0,17,2460,576,0,3036,5625,2203,0,7828
State,Goa,0,52,0,52,87,5,0,92,12,1,0,13,0,0,0,0,7,1,0,8,5,0,0,5,70,4,0,74,5,0,0,5,16,11,0,27,81,3,0,84,21,1,0,22,12,1,0,13,3,1,0,4,4,0,0,4,5,0,0,5,9,0,0,9,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,33,0,0,33,4,0,0,4,5,0,0,5,249,72,0,321
State,Gujarat,0,1820,0,1820,832,82,0,914,38,9,0,47,7,0,0,7,28,9,0,37,3,0,0,3,784,73,0,857,10,0,0,10,301,321,0,622,418,18,0,436,920,13,0,933,515,0,0,515,24,0,0,24,424,0,0,424,67,0,0,67,405,13,0,418,114,12,0,126,0,0,0,0,0,0,0,0,0,0,0,0,114,12,0,126,3045,160,1,3206,290,49,0,339,279,114,0,393,6199,2589,1,8789
State,Haryana,0,360,0,360,296,22,0,318,90,5,0,95,6,2,0,8,37,3,0,40,47,0,0,47,191,14,0,205,15,3,0,18,147,88,0,235,321,32,0,353,513,30,0,543,92,2,0,94,16,0,0,16,8,0,0,8,68,2,0,70,421,28,0,449,225,1,0,226,13,0,0,13,12,0,0,12,1,0,0,1,212,1,0,213,498,37,0,535,4,0,0,4,866,252,0,1118,2870,822,0,3692
State,Himachal Pradesh,0,190,0,190,177,19,0,196,27,3,0,30,7,1,0,8,20,2,0,22,0,0,0,0,141,15,0,156,9,1,0,10,72,48,0,120,122,13,0,135,84,0,0,84,84,0,0,84,53,0,0,53,31,0,0,31,0,0,0,0,0,0,0,0,23,1,0,24,12,1,0,13,12,1,0,13,0,0,0,0,11,0,0,11,121,4,0,125,13,0,0,13,2,0,0,2,614,275,0,889
State,Jharkhand,0,162,0,162,163,38,0,201,9,0,0,9,2,0,0,2,3,0,0,3,4,0,0,4,146,32,0,178,8,6,0,14,525,191,0,716,420,54,0,474,86,5,0,91,86,5,0,91,31,1,0,32,55,4,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,14,0,156,10,1,0,11,12,2,0,14,1358,467,0,1825
