Category,State/UT,Male,Female,Transgender,Total,Education_Total,Profession_Total
State,Andhra Pradesh,6046,2021,0,8067,8067,8067
State,Arunachal Pradesh,111,49,0,160,160,160
State,Assam,2351,911,0,3262,3262,3262
State,Bihar,470,357,0,827,827,827
State,Chhattisgarh,5625,2203,0,7828,7828,7828
State,Goa,249,72,0,321,321,321
State,Gujarat,6199,2589,1,8789,8789,8789
State,Haryana,2870,822,0,3692,3692,3692
State,Himachal Pradesh,614,275,0,889,889,889
State,Jharkhand,1358,467,0,1825,1825,1825
State,Karnataka,9927,3126,3,13056,13056,13056
State,Kerala,7487,2056,6,9549,9549,9549
State,Madhya Pradesh,10203,4762,0,14965,14965,14965
State,Maharashtra,17489,4715,3,22207,22207,22207
State,Manipur,38,11,0,49,49,49
State,Meghalaya,172,54,0,226,226,226
State,Mizoram,90,9,0,99,99,99
State,Nagaland,37,6,0,43,43,43
State,Odisha,4412,1239,0,5651,5651,5651
State,Punjab,2025,575,0,2600,2600,2600
State,Rajasthan,4057,1536,0,5593,5593,5593
State,Sikkim,200,66,0,266,266,266
State,Tamil Nadu,13190,5725,10,18925,18925,18925
State,Telangana,7963,2206,2,10171,10171,10171
State,Tripura,543,228,0,771,771,771
State,Uttar Pradesh,3549,2383,0,5932,5932,5932
State,Uttarakhand,463,254,0,717,717,717
State,West Bengal,8290,5209,1,13500,13500,13500
UT,Andaman and Nicobar Islands,122,37,0,159,159,159
UT,Chandigarh,84,36,0,120,120,120
UT,Dadra and Nagar Haveli and Daman and Diu,127,44,0,171,171,171
UT,Delhi,2093,746,1,2840,2840,2840
UT,Jammu and Kashmir,144,103,0,247,247,247
UT,Ladakh,10,1,0,11,11,11
UT,Lakshadweep,1,0,0,1,1,1
UT,Puducherry,370,133,1,504,504,504
